Apr. 7, 2019   11:36:06
Linear Sweep Voltammetry
File: D:\process\data\lsv1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Scan Rate (V/s) = 0.1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Potential/V, Current/A

0.067, 3.191e-6
0.066, 3.184e-6
0.065, 3.176e-6
0.064, 3.166e-6
0.063, 3.160e-6
0.062, 3.151e-6
0.061, 3.143e-6
0.060, 3.137e-6
0.059, 3.128e-6
0.058, 3.121e-6
0.057, 3.114e-6
0.056, 3.106e-6
0.055, 3.099e-6
0.054, 3.092e-6
0.053, 3.085e-6
0.052, 3.079e-6
0.051, 3.070e-6
0.050, 3.063e-6
0.049, 3.058e-6
0.048, 3.050e-6
0.047, 3.044e-6
0.046, 3.038e-6
0.045, 3.031e-6
0.044, 3.026e-6
0.043, 3.018e-6
0.042, 3.012e-6
0.041, 3.007e-6
0.040, 3.001e-6
0.039, 2.995e-6
0.038, 2.989e-6
0.037, 2.983e-6
0.036, 2.979e-6
0.035, 2.971e-6
0.034, 2.967e-6
0.033, 2.962e-6
0.032, 2.956e-6
0.031, 2.951e-6
0.030, 2.946e-6
0.029, 2.940e-6
0.028, 2.937e-6
0.027, 2.931e-6
0.026, 2.926e-6
0.025, 2.922e-6
0.024, 2.916e-6
0.023, 2.912e-6
0.022, 2.907e-6
0.021, 2.902e-6
0.020, 2.900e-6
0.019, 2.894e-6
0.018, 2.890e-6
0.017, 2.887e-6
0.016, 2.881e-6
0.015, 2.878e-6
0.014, 2.874e-6
0.013, 2.869e-6
0.012, 2.867e-6
0.011, 2.862e-6
0.010, 2.858e-6
0.009, 2.856e-6
0.008, 2.852e-6
0.007, 2.848e-6
0.006, 2.845e-6
0.005, 2.841e-6
0.004, 2.839e-6
0.003, 2.834e-6
0.002, 2.832e-6
0.001, 2.829e-6
0.000, 2.828e-6
-0.001, 2.824e-6
-0.002, 2.821e-6
-0.003, 2.817e-6
-0.004, 2.816e-6
-0.005, 2.811e-6
-0.006, 2.809e-6
-0.007, 2.808e-6
-0.008, 2.804e-6
-0.009, 2.802e-6
-0.010, 2.799e-6
-0.011, 2.797e-6
-0.012, 2.796e-6
-0.013, 2.791e-6
-0.014, 2.790e-6
-0.015, 2.789e-6
-0.016, 2.785e-6
-0.017, 2.784e-6
-0.018, 2.783e-6
-0.019, 2.780e-6
-0.020, 2.780e-6
-0.021, 2.777e-6
-0.022, 2.775e-6
-0.023, 2.775e-6
-0.024, 2.773e-6
-0.025, 2.771e-6
-0.026, 2.769e-6
-0.027, 2.768e-6
-0.028, 2.768e-6
-0.029, 2.765e-6
-0.030, 2.765e-6
-0.031, 2.764e-6
-0.032, 2.763e-6
-0.033, 2.762e-6
-0.034, 2.761e-6
-0.035, 2.760e-6
-0.036, 2.761e-6
-0.037, 2.759e-6
-0.038, 2.758e-6
-0.039, 2.758e-6
-0.040, 2.757e-6
-0.041, 2.757e-6
-0.042, 2.756e-6
-0.043, 2.756e-6
-0.044, 2.757e-6
-0.045, 2.755e-6
-0.046, 2.756e-6
-0.047, 2.757e-6
-0.048, 2.755e-6
-0.049, 2.756e-6
-0.050, 2.757e-6
-0.051, 2.756e-6
-0.052, 2.758e-6
-0.053, 2.756e-6
-0.054, 2.757e-6
-0.055, 2.759e-6
-0.056, 2.759e-6
-0.057, 2.760e-6
-0.058, 2.761e-6
-0.059, 2.761e-6
-0.060, 2.763e-6
-0.061, 2.762e-6
-0.062, 2.764e-6
-0.063, 2.766e-6
-0.064, 2.765e-6
-0.065, 2.767e-6
-0.066, 2.769e-6
-0.067, 2.769e-6
-0.068, 2.772e-6
-0.069, 2.772e-6
-0.070, 2.774e-6
-0.071, 2.777e-6
-0.072, 2.777e-6
-0.073, 2.780e-6
-0.074, 2.781e-6
-0.075, 2.783e-6
-0.076, 2.786e-6
-0.077, 2.786e-6
-0.078, 2.789e-6
-0.079, 2.792e-6
-0.080, 2.793e-6
-0.081, 2.796e-6
-0.082, 2.799e-6
-0.083, 2.800e-6
-0.084, 2.805e-6
-0.085, 2.806e-6
-0.086, 2.808e-6
-0.087, 2.812e-6
-0.088, 2.814e-6
-0.089, 2.817e-6
-0.090, 2.820e-6
-0.091, 2.823e-6
-0.092, 2.827e-6
-0.093, 2.828e-6
-0.094, 2.833e-6
-0.095, 2.837e-6
-0.096, 2.840e-6
-0.097, 2.844e-6
-0.098, 2.847e-6
-0.099, 2.850e-6
